"SocialDistancing","fedapprove","provapprove","localapprove","wave","female"
".6979039",".38728508353233337",".47449785470962524",".41053315997123718","Mar 26, 2020","0"
".7124614",".36711809039115906",".55913633108139038",".45864832401275635","Apr 03, 2020","0"
".7391214",".40626910328865051",".56906378269195557",".40572050213813782","Apr 10, 2020","0"
".67167",".28907498717308044",".50353145599365234",".37986463308334351","Apr 17, 2020","0"
".7038082",".34527367353439331",".480762779712677",".40093395113945007","Apr 25, 2020","0"
".690685",".30885261297225952",".46253076195716858",".35467827320098877","May 02, 2020","0"
".6722133",".31643635034561157",".46645015478134155",".35444188117980957","May 09, 2020","0"
".6012814",".31085115671157837",".47514981031417847",".3895784318447113","May 22, 2020","0"
".6295936",".28881889581680298",".44870549440383911",".34820064902305603","Jun 16, 2020","0"
".6007028",".26996022462844849",".43122744560241699",".32324334979057312","Jun 25, 2020","0"
".5967007",".29535216093063354",".43327957391738892",".37067553400993347","Jul 02, 2020","0"
".5961794",".29849687218666077",".43536174297332764",".34475260972976685","Jul 09, 2020","0"
".6149555",".27913698554039001",".43530130386352539",".35413438081741333","Jul 16, 2020","0"
".608551",".28150215744972229",".45109015703201294",".35643503069877625","Jul 25, 2020","0"
".5856578",".27037730813026428",".39476236701011658",".31923052668571472","Aug 3, 2020","0"
".5865491",".30594432353973389",".4135439395904541",".3406844437122345","Aug 10, 2020","0"
".5561323",".27841559052467346",".42613166570663452",".33380153775215149","Aug 20, 2020","0"
".5704225",".26391276717185974",".37733221054077148",".30274233222007751","Aug 27, 2020","0"
".5608296",".22568626701831818",".38093683123588562",".2896498441696167","Sept 3, 2020","0"
".5915971",".2430279403924942",".36876282095909119",".30672088265419006","Sept 10, 2020","0"
".5859664",".25524097681045532",".36640670895576477",".3030049204826355","Sept 18, 2020","0"
".5754647",".20360410213470459",".30084839463233948",".25437283515930176","Sept 25, 2020","0"
".5651015",".21592630445957184",".28598010540008545",".25808614492416382","Oct 1, 2020","0"
".6279263",".18875209987163544",".3365214467048645",".27786388993263245","Oct 9, 2020","0"
".630218",".19816990196704865",".29929196834564209",".26776623725891113","Oct 17, 2020","0"
".6013355",".22046039998531342",".34605979919433594",".2815433144569397","Oct 23, 2020","0"
".6228036",".22143168747425079",".29324615001678467",".26162868738174438","Nov 01, 2020","0"
".6474644",".17306356132030487",".23555153608322144",".23478597402572632","Nov 14, 2020","0"
".6550885",".19455699622631073",".24707992374897003",".24553181231021881","Nov 28, 2020","0"
".6742153",".11614604294300079",".14006698131561279",".1611679345369339","Jan 14, 2021","0"
".6535661",".10560851544141769",".19492487609386444",".18102696537971497","Jan 21, 2021","0"
".6886454",".04077860340476036",".21212309598922729",".20707729458808899","Jan 29, 2021","0"
".6573684",".03850259631872177",".14027844369411469",".17692038416862488","Feb 4, 2021","0"
".6703122","-.00913468468934298",".13139623403549194",".18835315108299255","Feb 12, 2021","0"
".6561972",".05722763761878014",".18216510117053986",".19024713337421417","Feb 18, 2021","0"
".6247455",".0490340031683445",".14798775315284729",".17925906181335449","Feb 25, 2021","0"
".7830419",".38473153114318848",".44578680396080017",".39944663643836975","Mar 26, 2020","1"
".8150026",".39126330614089966",".54331678152084351",".46010664105415344","Apr 03, 2020","1"
".794911",".41564247012138367",".55402731895446777",".4192986786365509","Apr 10, 2020","1"
".7402685",".34472784399986267",".48811417818069458",".41991084814071655","Apr 17, 2020","1"
".7516472",".39812815189361572",".50310051441192627",".43011292815208435","Apr 25, 2020","1"
".7680516",".34727999567985535",".46785244345664978",".39534595608711243","May 02, 2020","1"
".7534683",".3815876841545105",".45849427580833435",".39903968572616577","May 09, 2020","1"
".679174",".35527485609054565",".47614717483520508",".40401852130889893","May 22, 2020","1"
".6693985",".29893156886100769",".37755098938941956",".32811343669891357","Jun 16, 2020","1"
".6250013",".30861726403236389",".40421098470687866",".3486391007900238","Jun 25, 2020","1"
".6520947",".31844779849052429",".40476828813552856",".34348419308662415","Jul 02, 2020","1"
".6587704",".32980296015739441",".45086434483528137",".3957689106464386","Jul 09, 2020","1"
".6620313",".31822893023490906",".42299428582191467",".36253613233566284","Jul 16, 2020","1"
".6352284",".28856697678565979",".36973276734352112",".3228718638420105","Jul 25, 2020","1"
".6332317",".29627504944801331",".36923640966415405",".32413366436958313","Aug 3, 2020","1"
".6076218",".32282775640487671",".38634935021400452",".34406176209449768","Aug 10, 2020","1"
".6109284",".28132972121238709",".33409479260444641",".29755619168281555","Aug 20, 2020","1"
".6105055",".28335332870483398",".3473450243473053",".34212929010391235","Aug 27, 2020","1"
".6216242",".29171442985534668",".338917076587677",".30646929144859314","Sept 3, 2020","1"
".6025469",".27720603346824646",".31492364406585693",".30663508176803589","Sept 10, 2020","1"
".6233718",".25834837555885315",".33326509594917297",".29173356294631958","Sept 18, 2020","1"
".6330366",".26101154088973999",".32631471753120422",".2906571626663208","Sept 25, 2020","1"
".6603707",".25940814614295959",".31755572557449341",".29411241412162781","Oct 1, 2020","1"
".632883",".22427172958850861",".25991931557655334",".27537557482719421","Oct 9, 2020","1"
".6301957",".22152885794639587",".25807109475135803",".25466722249984741","Oct 17, 2020","1"
".6548625",".24477386474609375",".27598261833190918",".26794454455375671","Oct 23, 2020","1"
".6439298",".21450430154800415",".26712247729301453",".26512229442596436","Nov 01, 2020","1"
".6834387",".19186212122440338",".20939011871814728",".22688274085521698","Nov 14, 2020","1"
".6915134",".17952176928520203",".16886718571186066",".20715054869651794","Nov 28, 2020","1"
".7321213",".16158673167228699",".19421125948429108",".21199356019496918","Jan 14, 2021","1"
".7198121",".0988447368144989",".12609365582466125",".15324655175209045","Jan 21, 2021","1"
".7242315",".08055261522531509",".14566677808761597",".19752338528633118","Jan 29, 2021","1"
".7192544",".04885175451636314",".14402899146080017",".19433009624481201","Feb 4, 2021","1"
".6948919",".04196631535887718",".13255079090595245",".16301561892032623","Feb 12, 2021","1"
".7044614",".08383563160896301",".13754996657371521",".20034503936767578","Feb 18, 2021","1"
".6774023",".09659245610237122",".17032238841056824",".20413447916507721","Feb 25, 2021","1"
